platform,impressions,likes,comments,shares,post_type,caption,timestamp
instagram,1500,245,35,18,image,"New product launch! Check it out 🚀",2024-01-15 10:30:00
facebook,2300,380,62,45,video,"Behind the scenes of our latest campaign",2024-01-15 14:00:00
twitter,800,125,28,55,text,"Exciting news coming soon! Stay tuned 👀",2024-01-15 09:00:00
linkedin,950,180,42,25,link,"5 Marketing Trends to Watch in 2024",2024-01-15 08:00:00
instagram,2100,425,68,92,reel,"Quick tips for social media success",2024-01-16 18:00:00
tiktok,5200,890,145,320,video,"Dance challenge - join us! 💃",2024-01-16 20:00:00
instagram,1800,320,48,35,carousel,"Swipe to see our top products",2024-01-16 12:00:00
facebook,1600,215,38,22,image,"Customer success story 🌟",2024-01-17 11:00:00
twitter,650,98,18,42,text,"Hot take on industry trends",2024-01-17 16:00:00
instagram,1200,195,25,15,story,"Day in the life - follow along",2024-01-17 10:00:00
youtube,8500,1250,285,450,video,"Complete tutorial: Marketing 101",2024-01-18 15:00:00
linkedin,1100,205,55,38,text,"Hiring! Join our amazing team",2024-01-18 09:00:00
facebook,2800,485,95,68,video,"Live Q&A session recap",2024-01-18 19:00:00
instagram,1950,365,52,42,image,"Throwback Thursday memories 📸",2024-01-18 13:00:00
tiktok,4800,820,122,280,video,"Life hack you need to try",2024-01-19 21:00:00
twitter,720,115,22,48,image,"Infographic: Key statistics",2024-01-19 14:00:00
instagram,2400,445,78,95,reel,"Transformation Tuesday inspiration",2024-01-19 11:00:00
linkedin,880,165,38,28,link,"Case study: How we increased ROI by 200%",2024-01-20 08:30:00
facebook,1950,325,58,42,carousel,"Product comparison guide",2024-01-20 13:00:00
instagram,1650,285,42,32,image,"Motivational Monday quote",2024-01-21 09:00:00
youtube,7200,1050,198,380,video,"Weekly vlog episode 12",2024-01-21 17:00:00
tiktok,6100,1125,188,425,video,"Trending sound challenge",2024-01-21 22:00:00
twitter,550,88,15,35,text,"Weekend vibes ☀️",2024-01-21 10:00:00
instagram,2850,525,88,118,reel,"Friday feeling dance",2024-01-22 18:00:00
facebook,2200,395,72,55,video,"Customer testimonial video",2024-01-22 12:00:00
linkedin,1050,195,48,32,text,"Thought leadership: Future of marketing",2024-01-22 07:00:00
instagram,1750,315,48,38,carousel,"Week recap highlights",2024-01-23 16:00:00
twitter,680,105,20,45,image,"Meme Monday 😂",2024-01-23 11:00:00
instagram,1400,235,35,25,image,"New blog post alert 📝",2024-01-24 10:00:00
facebook,1850,305,55,42,link,"Ultimate guide to social media",2024-01-24 14:30:00
tiktok,5500,945,165,350,video,"Duet this if you agree!",2024-01-24 20:00:00
youtube,6800,980,175,325,video,"Product review and unboxing",2024-01-25 16:00:00
instagram,2200,415,68,85,reel,"Wednesday workout motivation",2024-01-25 07:00:00
linkedin,920,175,42,28,image,"Company culture spotlight",2024-01-25 09:00:00
facebook,2100,368,65,48,video,"How-to tutorial",2024-01-26 13:00:00
twitter,615,95,18,38,text,"Thread: Marketing tips 🧵",2024-01-26 15:00:00
instagram,1850,335,52,42,image,"Behind the brand story",2024-01-27 12:00:00
tiktok,4950,865,142,295,video,"POV: When marketing works",2024-01-27 21:30:00
instagram,2650,495,82,105,reel,"Saturday morning energy ⚡",2024-01-28 08:00:00
facebook,1750,295,48,35,image,"Community spotlight feature",2024-01-28 11:00:00
youtube,7800,1180,225,420,video,"Monthly roundup and updates",2024-01-28 18:00:00
linkedin,995,188,45,32,link,"Industry report findings",2024-01-29 08:00:00
instagram,1550,265,42,28,story,"Sunday funday activities",2024-01-29 14:00:00
twitter,725,118,25,52,image,"Data visualization of the week",2024-01-29 16:00:00
facebook,2450,425,78,62,video,"Announcement: Big news coming!",2024-01-30 10:00:00
instagram,2950,555,95,125,reel,"End of month celebration 🎉",2024-01-30 19:00:00
tiktok,5850,1025,178,385,video,"Viral trend participation",2024-01-30 22:00:00
linkedin,1150,215,52,38,text,"Career advice for marketers",2024-01-31 09:00:00
instagram,1900,345,58,45,carousel,"January highlights recap",2024-01-31 17:00:00
facebook,2050,355,62,48,image,"Thank you message to followers",2024-01-31 20:00:00
